S/N,Project Name,Street Name,Type,Postal District,Market Segment,Tenure,Type of Sale,No. of Units,Price ($),Nett Price ($),Area (Sqft),Type of Area,Floor Level,Unit Price ($psf),Date of Sale
2012,LAKE GRANDE,JURONG LAKE LINK,Condominium,22,OCR,99 yrs lease commencing from 2015,New Sale,1,717000,-,517,Strata,06 to 10,1388,16-Jul
2013,LAKE GRANDE,JURONG LAKE LINK,Condominium,22,OCR,99 yrs lease commencing from 2015,New Sale,1,717000,-,517,Strata,06 to 10,1388,16-Jul
2014,PARC ROSEWOOD,ROSEWOOD DRIVE,Condominium,25,OCR,99 yrs lease commencing from 2011,Resale,1,640000,-,581,Strata,01 to 05,1101,16-Jul
2015,LAKE GRANDE,JURONG LAKE LINK,Condominium,22,OCR,99 yrs lease commencing from 2015,New Sale,1,887000,-,614,Strata,06 to 10,1446,16-Jul
2016,LAKE GRANDE,JURONG LAKE LINK,Condominium,22,OCR,99 yrs lease commencing from 2015,New Sale,1,944000,-,721,Strata,01 to 05,1309,16-Jul
2017,THE GARDENS AT BISHAN,SIN MING WALK,Condominium,20,RCR,99 yrs lease commencing from 1997,Resale,1,1170000,-,1206,Strata,01 to 05,970,16-Jul
2018,PARC VISTA,CORPORATION ROAD,Condominium,22,OCR,99 yrs lease commencing from 1995,Resale,1,950000,-,1270,Strata,01 to 05,748,16-Jul
2019,THE MAYFAIR,JURONG EAST STREET 32,Condominium,22,OCR,99 yrs lease commencing from 1996,Resale,1,1015000,-,1109,Strata,16 to 20,915,16-Jul
2020,THE PANORAMA,ANG MO KIO AVENUE 2,Condominium,20,OCR,99 yrs lease commencing from 2013,New Sale,1,1391765,-,1141,Strata,06 to 10,1220,16-Jul
2021,CASPIAN,LAKESIDE DRIVE,Condominium,22,OCR,99 yrs lease commencing from 2008,Resale,1,1500000,-,1389,Strata,11 to 15,1080,16-Jul
2022,WOODGROVE CONDOMINIUM,WOODGROVE DRIVE,Condominium,25,OCR,99 yrs lease commencing from 1997,Resale,1,1100000,-,1625,Strata,01 to 05,677,16-Jul
2023,ROSEWOOD,ROSEWOOD DRIVE,Condominium,25,OCR,99 yrs lease commencing from 2000,Resale,1,816000,-,1012,Strata,16 to 20,806,16-Jul
2024,PARC ROSEWOOD,ROSEWOOD DRIVE,Condominium,25,OCR,99 yrs lease commencing from 2011,Resale,1,535000,-,431,Strata,01 to 05,1243,16-Jul
2025,PARC ROSEWOOD,ROSEWOOD DRIVE,Condominium,25,OCR,99 yrs lease commencing from 2011,Resale,1,530000,-,431,Strata,01 to 05,1231,16-Jul
2026,GRANDEUR 8,ANG MO KIO CENTRAL 3,Condominium,20,OCR,99 yrs lease commencing from 2002,Resale,1,1232200,-,1195,Strata,06 to 10,1031,16-Jul
2027,THE CENTRIS,JURONG WEST CENTRAL 3,Apartment,22,OCR,99 yrs lease commencing from 2006,Resale,1,1358888,-,1292,Strata,11 to 15,1052,16-Jul
2028,ROSEWOOD SUITES,ROSEWOOD DRIVE,Condominium,25,OCR,99 yrs lease commencing from 2008,Resale,1,662800,-,710,Strata,01 to 05,933,16-Jul
2029,THOMSON IMPRESSIONS,LORONG PUNTONG,Apartment,20,RCR,99 yrs lease commencing from 2015,New Sale,1,760800,-,463,Strata,16 to 20,1644,16-Jul
2030,LAKEHOLMZ,CORPORATION ROAD,Condominium,22,OCR,99 yrs lease commencing from 2001,Resale,1,1120000,-,1313,Strata,11 to 15,853,16-Jul
2031,LAKEPOINT CONDOMINIUM,LAKEPOINT DRIVE,Condominium,22,OCR,99 yrs lease commencing from 1983,Resale,1,1050000,-,1884,Strata,06 to 10,557,16-Jul
2032,THOMSON IMPRESSIONS,LORONG PUNTONG,Apartment,20,RCR,99 yrs lease commencing from 2015,New Sale,1,1047700,-,764,Strata,01 to 05,1371,16-Jul
2033,FLORAVIEW,ANG MO KIO STREET 66,Apartment,20,OCR,Freehold,New Sale,1,927000,-,743,Strata,01 to 05,1248,16-Jul
2034,LAKEVILLE,JURONG LAKE LINK,Condominium,22,OCR,99 yrs lease commencing from 2013,New Sale,1,1483664,-,1141,Strata,16 to 20,1300,16-Jul
2035,LAKEVILLE,JURONG LAKE LINK,Condominium,22,OCR,99 yrs lease commencing from 2013,New Sale,1,1681485,-,1302,Strata,06 to 10,1291,16-Jul
2036,LAKEVILLE,JURONG LAKE LINK,Condominium,22,OCR,99 yrs lease commencing from 2013,New Sale,1,1478862,1470862,1119,Strata,01 to 05,1314,16-Jul
2037,LAKEVILLE,JURONG LAKE LINK,Condominium,22,OCR,99 yrs lease commencing from 2013,New Sale,1,1579694,-,1270,Strata,11 to 15,1244,16-Jul
2038,LAKEVILLE,JURONG LAKE LINK,Condominium,22,OCR,99 yrs lease commencing from 2013,New Sale,1,1604661,1596661,1270,Strata,11 to 15,1257,16-Jul
2039,LAKEVILLE,JURONG LAKE LINK,Condominium,22,OCR,99 yrs lease commencing from 2013,New Sale,1,1596979,1586979,1270,Strata,11 to 15,1249,16-Jul
2040,THE PANORAMA,ANG MO KIO AVENUE 2,Condominium,20,OCR,99 yrs lease commencing from 2013,New Sale,1,1337947,-,1130,Strata,01 to 05,1184,16-Jul
2041,PARC OASIS,JURONG EAST AVENUE 1,Condominium,22,OCR,99 yrs lease commencing from 1991,Resale,1,1010000,-,1227,Strata,11 to 15,823,16-Jul
2042,THE LAKEFRONT RESIDENCES,LAKESIDE DRIVE,Condominium,22,OCR,99 yrs lease commencing from 2010,Resale,1,1215000,-,1001,Strata,06 to 10,1214,16-Jul
2043,FLORAVIEW,ANG MO KIO STREET 66,Apartment,20,OCR,Freehold,New Sale,1,730000,-,570,Strata,01 to 05,1280,16-Jul
2044,THOMSON IMPRESSIONS,LORONG PUNTONG,Apartment,20,RCR,99 yrs lease commencing from 2015,New Sale,1,1480100,-,1055,Strata,11 to 15,1403,16-Jul
2045,LAKEVILLE,JURONG LAKE LINK,Condominium,22,OCR,99 yrs lease commencing from 2013,New Sale,1,1686287,-,1302,Strata,06 to 10,1295,16-Jul
2046,SKY VUE,BISHAN STREET 15,Condominium,20,RCR,99 yrs lease commencing from 2013,New Sale,1,1782600,-,1141,Strata,31 to 35,1562,16-Jul
2047,LAKEVILLE,JURONG LAKE LINK,Condominium,22,OCR,99 yrs lease commencing from 2013,New Sale,1,1349222,-,1119,Strata,01 to 05,1205,16-Jul
2048,SKY VUE,BISHAN STREET 15,Condominium,20,RCR,99 yrs lease commencing from 2013,New Sale,1,1782600,-,1141,Strata,31 to 35,1562,16-Jul
2049,SKY VUE,BISHAN STREET 15,Condominium,20,RCR,99 yrs lease commencing from 2013,New Sale,1,1765200,-,1141,Strata,31 to 35,1547,16-Jul
2050,SKY VUE,BISHAN STREET 15,Condominium,20,RCR,99 yrs lease commencing from 2013,New Sale,1,1148300,-,678,Strata,31 to 35,1693,16-Jul
2051,LAKEVILLE,JURONG LAKE LINK,Condominium,22,OCR,99 yrs lease commencing from 2013,New Sale,1,1371308,-,1141,Strata,01 to 05,1202,16-Jul
2052,LAKEVILLE,JURONG LAKE LINK,Condominium,22,OCR,99 yrs lease commencing from 2013,New Sale,1,1679565,1671565,1302,Strata,11 to 15,1283,16-Jul
2053,THE GARDENS AT BISHAN,SIN MING WALK,Condominium,20,RCR,99 yrs lease commencing from 1997,Resale,1,1380000,-,1572,Strata,06 to 10,878,16-Jul
2054,LAKEVILLE,JURONG LAKE LINK,Condominium,22,OCR,99 yrs lease commencing from 2013,New Sale,1,1576813,1568813,1270,Strata,06 to 10,1235,16-Jul
2055,LAKEVILLE,JURONG LAKE LINK,Condominium,22,OCR,99 yrs lease commencing from 2013,New Sale,1,1572011,-,1270,Strata,06 to 10,1238,16-Jul
2056,LAKEVILLE,JURONG LAKE LINK,Condominium,22,OCR,99 yrs lease commencing from 2013,New Sale,1,1468299,-,1141,Strata,11 to 15,1287,16-Jul
2057,THE PANORAMA,ANG MO KIO AVENUE 2,Condominium,20,OCR,99 yrs lease commencing from 2013,New Sale,1,1265297,-,1001,Strata,11 to 15,1264,16-Jul
2058,THE LAKESHORE,JURONG WEST STREET 41,Condominium,22,OCR,99 yrs lease commencing from 2002,Resale,1,1186000,-,1141,Strata,11 to 15,1039,16-Jul
2059,THE PANORAMA,ANG MO KIO AVENUE 2,Condominium,20,OCR,99 yrs lease commencing from 2013,New Sale,1,1215228,-,1012,Strata,01 to 05,1201,16-Jul
2060,PARC ROSEWOOD,ROSEWOOD DRIVE,Condominium,25,OCR,99 yrs lease commencing from 2011,Resale,1,515000,-,431,Strata,01 to 05,1196,16-Jul
2061,THE GARDENS AT BISHAN,SIN MING WALK,Condominium,20,RCR,99 yrs lease commencing from 1997,Resale,1,890000,-,883,Strata,01 to 05,1008,16-Jul
2062,THE PANORAMA,ANG MO KIO AVENUE 2,Condominium,20,OCR,99 yrs lease commencing from 2013,New Sale,1,1198628,-,1012,Strata,01 to 05,1185,16-Jul
2063,THE LAKESHORE,JURONG WEST STREET 41,Condominium,22,OCR,99 yrs lease commencing from 2002,Resale,1,1150000,-,1163,Strata,11 to 15,989,16-Jul
2064,THE GARDENS AT BISHAN,SIN MING WALK,Condominium,20,RCR,99 yrs lease commencing from 1997,Resale,1,900000,-,883,Strata,01 to 05,1020,16-Jul
2065,LAKEPOINT CONDOMINIUM,LAKEPOINT DRIVE,Condominium,22,OCR,99 yrs lease commencing from 1983,Resale,1,1160000,-,1884,Strata,06 to 10,616,16-Jul
2066,LAKEHOLMZ,CORPORATION ROAD,Condominium,22,OCR,99 yrs lease commencing from 2001,Resale,1,1120000,-,1324,Strata,01 to 05,846,16-Jul
2067,THE LAKESHORE,JURONG WEST STREET 41,Condominium,22,OCR,99 yrs lease commencing from 2002,Resale,1,958000,-,926,Strata,11 to 15,1035,16-Jul
2068,THOMSON IMPRESSIONS,LORONG PUNTONG,Apartment,20,RCR,99 yrs lease commencing from 2015,New Sale,1,1097500,-,732,Strata,16 to 20,1499,16-Jul
2069,SKY VUE,BISHAN STREET 15,Condominium,20,RCR,99 yrs lease commencing from 2013,New Sale,1,1332400,-,807,Strata,31 to 35,1650,16-Jul
2070,THE PANORAMA,ANG MO KIO AVENUE 2,Condominium,20,OCR,99 yrs lease commencing from 2013,New Sale,1,1400690,-,1163,Strata,06 to 10,1205,16-Jul
2071,THE MAYFAIR,JURONG EAST STREET 32,Condominium,22,OCR,99 yrs lease commencing from 1996,Resale,1,1060000,-,1163,Strata,06 to 10,912,16-Jul
2072,PARC OASIS,JURONG EAST AVENUE 1,Condominium,22,OCR,99 yrs lease commencing from 1991,Resale,1,960000,-,1227,Strata,11 to 15,782,16-Jul
2073,FLAME TREE PARK,SIN MING AVENUE,Condominium,20,RCR,Freehold,Resale,1,1800000,-,1862,Strata,06 to 10,967,16-Jul
2074,WOODGROVE CONDOMINIUM,WOODGROVE DRIVE,Condominium,25,OCR,99 yrs lease commencing from 1997,Resale,1,1450000,-,2422,Strata,01 to 05,599,16-Jul
2075,LAKEVILLE,JURONG LAKE LINK,Condominium,22,OCR,99 yrs lease commencing from 2013,New Sale,1,1588336,-,1270,Strata,11 to 15,1251,16-Jul
2076,THE GARDENS AT BISHAN,SIN MING WALK,Condominium,20,RCR,99 yrs lease commencing from 1997,Resale,1,895000,-,883,Strata,16 to 20,1014,16-Jul
2077,PARC ROSEWOOD,ROSEWOOD DRIVE,Condominium,25,OCR,99 yrs lease commencing from 2011,Resale,1,558000,-,517,Strata,01 to 05,1080,16-Jul
2078,LAKEVILLE,JURONG LAKE LINK,Condominium,22,OCR,99 yrs lease commencing from 2013,New Sale,1,1567210,1557210,1270,Strata,11 to 15,1226,16-Jul
2079,ADANA @ THOMSON,OLD UPPER THOMSON ROAD,Apartment,20,OCR,Freehold,New Sale,1,943000,-,560,Strata,01 to 05,1685,16-Jul
2080,CASPIAN,LAKESIDE DRIVE,Condominium,22,OCR,99 yrs lease commencing from 2008,Resale,1,1300000,-,1238,Strata,06 to 10,1050,16-Jul
2081,THOMSON IMPRESSIONS,LORONG PUNTONG,Apartment,20,RCR,99 yrs lease commencing from 2015,New Sale,1,1495100,-,1055,Strata,16 to 20,1417,16-Jul
2082,WOODHAVEN,WOODGROVE AVENUE,Condominium,25,OCR,99 yrs lease commencing from 2011,Resale,1,690000,-,689,Strata,01 to 05,1002,16-Jul
2083,GRANDEUR 8,ANG MO KIO CENTRAL 3,Condominium,20,OCR,99 yrs lease commencing from 2002,Resale,1,1285000,-,1259,Strata,11 to 15,1020,16-Jun
2084,LAKEVILLE,JURONG LAKE LINK,Condominium,22,OCR,99 yrs lease commencing from 2013,New Sale,1,1331936,-,1119,Strata,01 to 05,1190,16-Jun
2085,THE WOODGROVE,WOODGROVE DRIVE,Apartment,25,OCR,99 yrs lease commencing from 1996,Resale,1,650000,-,883,Strata,01 to 05,736,16-Jun
2086,PARC OASIS,JURONG EAST AVENUE 1,Condominium,22,OCR,99 yrs lease commencing from 1991,Resale,1,915000,-,1076,Strata,16 to 20,850,16-Jun
2087,LAKEVILLE,JURONG LAKE LINK,Condominium,22,OCR,99 yrs lease commencing from 2013,New Sale,1,1453894,1445894,1119,Strata,06 to 10,1292,16-Jun
2088,ROSEWOOD,ROSEWOOD DRIVE,Condominium,25,OCR,99 yrs lease commencing from 2000,Resale,1,1050000,-,1475,Strata,11 to 15,712,16-Jun
2089,ADANA @ THOMSON,OLD UPPER THOMSON ROAD,Apartment,20,OCR,Freehold,New Sale,1,1420100,-,872,Strata,01 to 05,1629,16-Jun
2090,THE WOODGROVE,WOODGROVE DRIVE,Apartment,25,OCR,99 yrs lease commencing from 1996,Resale,1,705000,-,1023,Strata,06 to 10,689,16-Jun
2091,THE GARDENS AT BISHAN,SIN MING WALK,Condominium,20,RCR,99 yrs lease commencing from 1997,Resale,1,1928000,-,1948,Strata,16 to 20,990,16-Jun
2092,CLOVER BY THE PARK,BISHAN STREET 25,Condominium,20,RCR,99 yrs lease commencing from 2007,Resale,1,1390000,-,1216,Strata,01 to 05,1143,16-Jun
2093,THE GARDENS AT BISHAN,SIN MING WALK,Condominium,20,RCR,99 yrs lease commencing from 1997,Resale,1,1238000,-,1206,Strata,11 to 15,1027,16-Jun
2094,FLAME TREE PARK,SIN MING AVENUE,Condominium,20,RCR,Freehold,Resale,1,1880000,-,1862,Strata,16 to 20,1010,16-Jun
2095,PARC ROSEWOOD,ROSEWOOD DRIVE,Condominium,25,OCR,99 yrs lease commencing from 2011,Resale,1,680000,-,581,Strata,01 to 05,1170,16-Jun
2096,FLORAVIEW,ANG MO KIO STREET 66,Apartment,20,OCR,Freehold,New Sale,1,1339000,-,1206,Strata,01 to 05,1111,16-Jun
2097,THOMSON IMPRESSIONS,LORONG PUNTONG,Apartment,20,RCR,99 yrs lease commencing from 2015,New Sale,1,740800,-,463,Strata,11 to 15,1601,16-Jun
2098,THOMSON IMPRESSIONS,LORONG PUNTONG,Apartment,20,RCR,99 yrs lease commencing from 2015,New Sale,1,1070650,-,732,Strata,16 to 20,1463,16-Jun
2099,LAKEPOINT CONDOMINIUM,LAKEPOINT DRIVE,Condominium,22,OCR,99 yrs lease commencing from 1983,Resale,1,1208888,-,2217,Strata,06 to 10,545,16-Jun
2100,WOODGROVE CONDOMINIUM,WOODGROVE DRIVE,Condominium,25,OCR,99 yrs lease commencing from 1997,Resale,1,1180000,-,1991,Strata,01 to 05,593,16-Jun
2101,THE WOODGROVE,WOODGROVE DRIVE,Apartment,25,OCR,99 yrs lease commencing from 1996,Resale,1,670000,-,893,Strata,01 to 05,750,16-Jun
2102,CENTRO RESIDENCES,ANG MO KIO AVENUE 8,Condominium,20,OCR,99 yrs lease commencing from 2007,Resale,1,1260000,-,872,Strata,11 to 15,1445,16-Jun
2103,LAKEVILLE,JURONG LAKE LINK,Condominium,22,OCR,99 yrs lease commencing from 2013,New Sale,1,1702612,-,1302,Strata,06 to 10,1307,16-Jun
2104,CENTRO RESIDENCES,ANG MO KIO AVENUE 8,Condominium,20,OCR,99 yrs lease commencing from 2007,Resale,1,1220000,-,872,Strata,31 to 35,1399,16-Jun
2105,BISHAN 8,BISHAN STREET 21,Condominium,20,RCR,99 yrs lease commencing from 1996,Resale,1,1250000,-,1184,Strata,01 to 05,1056,16-Jun
2106,THE PANORAMA,ANG MO KIO AVENUE 2,Condominium,20,OCR,99 yrs lease commencing from 2013,New Sale,1,1238969,-,1012,Strata,01 to 05,1225,16-Jun
2107,SKY VUE,BISHAN STREET 15,Condominium,20,RCR,99 yrs lease commencing from 2013,New Sale,1,875000,-,484,Strata,31 to 35,1806,16-Jun
2108,LAKEVILLE,JURONG LAKE LINK,Condominium,22,OCR,99 yrs lease commencing from 2013,New Sale,1,1353063,-,1119,Strata,01 to 05,1209,16-Jun
2109,LAKEVILLE,JURONG LAKE LINK,Condominium,22,OCR,99 yrs lease commencing from 2013,New Sale,1,1450053,-,1119,Strata,01 to 05,1295,16-Jun
2110,THOMSON IMPRESSIONS,LORONG PUNTONG,Apartment,20,RCR,99 yrs lease commencing from 2015,New Sale,1,1574400,-,1055,Strata,11 to 15,1493,16-Jun
2111,THOMSON IMPRESSIONS,LORONG PUNTONG,Apartment,20,RCR,99 yrs lease commencing from 2015,New Sale,1,1550000,-,1055,Strata,11 to 15,1469,16-Jun
2112,LAKEVILLE,JURONG LAKE LINK,Condominium,22,OCR,99 yrs lease commencing from 2013,New Sale,1,1161003,1156003,969,Strata,01 to 05,1193,16-Jun
2113,SKY VUE,BISHAN STREET 15,Condominium,20,RCR,99 yrs lease commencing from 2013,New Sale,1,1800100,-,1141,Strata,36 to 40,1578,16-Jun
2114,COUNTRY GRANDEUR,LORONG PUNTONG,Condominium,20,RCR,Freehold,Resale,1,1540000,-,1442,Strata,06 to 10,1068,16-Jun
2115,THE CENTRIS,JURONG WEST CENTRAL 3,Apartment,22,OCR,99 yrs lease commencing from 2006,Resale,1,1375000,-,1238,Strata,11 to 15,1111,16-Jun
2116,PARC VISTA,CORPORATION ROAD,Condominium,22,OCR,99 yrs lease commencing from 1995,Resale,1,980000,-,1249,Strata,06 to 10,785,16-Jun
2117,THOMSON IMPRESSIONS,LORONG PUNTONG,Apartment,20,RCR,99 yrs lease commencing from 2015,New Sale,1,2680000,-,1894,Strata,16 to 20,1415,16-Jun
2118,CASPIAN,LAKESIDE DRIVE,Condominium,22,OCR,99 yrs lease commencing from 2008,Resale,1,1100000,-,1001,Strata,06 to 10,1099,16-Jun
2119,THE GARDENS AT BISHAN,SIN MING WALK,Condominium,20,RCR,99 yrs lease commencing from 1997,Resale,1,1420000,-,1582,Strata,01 to 05,897,16-Jun
2120,PARC VISTA,CORPORATION ROAD,Condominium,22,OCR,99 yrs lease commencing from 1995,Resale,1,840888,-,1076,Strata,01 to 05,781,16-Jun
2121,THOMSON IMPRESSIONS,LORONG PUNTONG,Apartment,20,RCR,99 yrs lease commencing from 2015,New Sale,1,738000,-,463,Strata,06 to 10,1594,16-Jun
2122,PARC ROSEWOOD,ROSEWOOD DRIVE,Condominium,25,OCR,99 yrs lease commencing from 2011,Resale,1,530000,-,431,Strata,01 to 05,1231,16-Jun
2123,THE PANORAMA,ANG MO KIO AVENUE 2,Condominium,20,OCR,99 yrs lease commencing from 2013,New Sale,1,972513,-,797,Strata,01 to 05,1221,16-Jun
2124,THE GARDENS AT BISHAN,SIN MING WALK,Condominium,20,RCR,99 yrs lease commencing from 1997,Resale,1,1238800,-,1227,Strata,06 to 10,1010,16-Jun
2125,THE WINDSOR,ONTARIO AVENUE,Condominium,20,RCR,Freehold,Resale,1,1418000,-,1572,Strata,01 to 05,902,16-Jun
2126,ROSEWOOD,ROSEWOOD DRIVE,Condominium,25,OCR,99 yrs lease commencing from 2000,Resale,1,1000000,-,1475,Strata,06 to 10,678,16-Jun
2127,PARC ROSEWOOD,ROSEWOOD DRIVE,Condominium,25,OCR,99 yrs lease commencing from 2011,Resale,1,520000,-,431,Strata,01 to 05,1208,16-Jun
2128,THOMSON IMPRESSIONS,LORONG PUNTONG,Apartment,20,RCR,99 yrs lease commencing from 2015,New Sale,1,752800,-,463,Strata,11 to 15,1626,16-Jun
2129,FLORAVIEW,ANG MO KIO STREET 66,Apartment,20,OCR,Freehold,New Sale,1,757500,-,592,Strata,01 to 05,1280,16-Jun
2130,183 LONGHAUS,UPPER THOMSON ROAD,Apartment,20,RCR,Freehold,New Sale,1,1653200,-,1152,Strata,01 to 05,1435,16-Jun
2131,SKY VUE,BISHAN STREET 15,Condominium,20,RCR,99 yrs lease commencing from 2013,New Sale,1,1747700,-,1141,Strata,31 to 35,1532,16-Jun
2132,THE PANORAMA,ANG MO KIO AVENUE 2,Condominium,20,OCR,99 yrs lease commencing from 2013,New Sale,1,1442994,-,1163,Strata,11 to 15,1241,16-Jun
2133,THE PANORAMA,ANG MO KIO AVENUE 2,Condominium,20,OCR,99 yrs lease commencing from 2013,New Sale,1,1221743,-,1012,Strata,06 to 10,1207,16-Jun
2134,THOMSON IMPRESSIONS,LORONG PUNTONG,Apartment,20,RCR,99 yrs lease commencing from 2015,New Sale,1,714000,-,463,Strata,06 to 10,1543,16-Jun
2135,183 LONGHAUS,UPPER THOMSON ROAD,Apartment,20,RCR,Freehold,New Sale,1,1565600,-,1076,Strata,01 to 05,1454,16-Jun
2136,GOLDENHILL PARK CONDOMINIUM,MEI HWAN DRIVE,Condominium,20,OCR,Freehold,Resale,1,1625000,-,1335,Strata,01 to 05,1217,16-Jun
2137,LAKEPOINT CONDOMINIUM,LAKEPOINT DRIVE,Condominium,22,OCR,99 yrs lease commencing from 1983,Resale,1,1050000,-,2077,Strata,06 to 10,505,16-Jun
2138,LAKEVILLE,JURONG LAKE LINK,Condominium,22,OCR,99 yrs lease commencing from 2013,New Sale,1,1714136,-,1302,Strata,11 to 15,1316,16-Jun
2139,FLORAVIEW,ANG MO KIO STREET 66,Apartment,20,OCR,Freehold,New Sale,1,1248700,-,1066,Strata,01 to 05,1172,16-Jun
2140,PARC VISTA,CORPORATION ROAD,Condominium,22,OCR,99 yrs lease commencing from 1995,Resale,1,860000,-,1055,Strata,01 to 05,815,16-Jun
2141,SKY VUE,BISHAN STREET 15,Condominium,20,RCR,99 yrs lease commencing from 2013,New Sale,1,1332900,-,807,Strata,31 to 35,1651,16-Jun
2142,THE MAYFAIR,JURONG EAST STREET 32,Condominium,22,OCR,99 yrs lease commencing from 1996,Resale,1,1010000,-,1206,Strata,06 to 10,838,16-Jun
2143,THE PANORAMA,ANG MO KIO AVENUE 2,Condominium,20,OCR,99 yrs lease commencing from 2013,New Sale,1,1219780,-,1012,Strata,01 to 05,1206,16-Jun
2144,SKY VUE,BISHAN STREET 15,Condominium,20,RCR,99 yrs lease commencing from 2013,Sub Sale,1,1480000,-,1141,Strata,01 to 05,1297,16-Jun
2145,THOMSON VIEW CONDOMINIUM,BRIGHT HILL DRIVE,Condominium,20,RCR,99 yrs lease commencing from 1975,Resale,1,1140000,-,1313,Strata,16 to 20,868,16-Jun
2146,LAKESIDE TOWER,YUAN CHING ROAD,Apartment,22,OCR,99 yrs lease commencing from 1975,Resale,1,950000,-,1970,Strata,11 to 15,482,16-Jun
2147,RAFFLESIA CONDOMINIUM,BISHAN STREET 21,Condominium,20,RCR,99 yrs lease commencing from 1997,Resale,1,1250000,-,1195,Strata,16 to 20,1046,16-Jun
2148,THE PANORAMA,ANG MO KIO AVENUE 2,Condominium,20,OCR,99 yrs lease commencing from 2013,New Sale,1,1362937,-,1141,Strata,01 to 05,1195,16-Jun
2149,LAKEVILLE,JURONG LAKE LINK,Condominium,22,OCR,99 yrs lease commencing from 2013,New Sale,1,1419323,-,1141,Strata,01 to 05,1244,16-Jun
2150,FLORAVIEW,ANG MO KIO STREET 66,Apartment,20,OCR,Freehold,New Sale,1,750000,-,592,Strata,01 to 05,1267,16-Jun
2151,THE MAYFAIR,JURONG EAST STREET 32,Condominium,22,OCR,99 yrs lease commencing from 1996,Resale,1,990000,-,1184,Strata,01 to 05,836,16-Jun
2152,THOMSON IMPRESSIONS,LORONG PUNTONG,Apartment,20,RCR,99 yrs lease commencing from 2015,New Sale,1,715000,-,463,Strata,06 to 10,1545,16-Jun
2153,THE GARDENS AT BISHAN,SIN MING WALK,Condominium,20,RCR,99 yrs lease commencing from 1997,Resale,1,1176000,-,1152,Strata,01 to 05,1021,16-Jun
2154,THE PANORAMA,ANG MO KIO AVENUE 2,Condominium,20,OCR,99 yrs lease commencing from 2013,New Sale,1,1432016,-,1163,Strata,11 to 15,1232,16-Jun
2155,SKY VUE,BISHAN STREET 15,Condominium,20,RCR,99 yrs lease commencing from 2013,New Sale,1,1130300,-,678,Strata,31 to 35,1667,16-Jun
2156,ADANA @ THOMSON,OLD UPPER THOMSON ROAD,Apartment,20,OCR,Freehold,New Sale,1,1151300,-,721,Strata,01 to 05,1596,16-Jun
2157,THE PANORAMA,ANG MO KIO AVENUE 2,Condominium,20,OCR,99 yrs lease commencing from 2013,New Sale,1,1286450,-,1066,Strata,06 to 10,1207,16-Jun
2158,WOODGROVE CONDOMINIUM,WOODGROVE DRIVE,Condominium,25,OCR,99 yrs lease commencing from 1997,Resale,1,1490000,-,2433,Strata,01 to 05,612,16-Jun
2159,LAKEVILLE,JURONG LAKE LINK,Condominium,22,OCR,99 yrs lease commencing from 2013,New Sale,1,1300246,1292246,1141,Strata,01 to 05,1133,16-Jun
2160,THOMSON IMPRESSIONS,LORONG PUNTONG,Apartment,20,RCR,99 yrs lease commencing from 2015,New Sale,1,1054700,-,764,Strata,01 to 05,1380,16-Jun
2161,LAKEVILLE,JURONG LAKE LINK,Condominium,22,OCR,99 yrs lease commencing from 2013,New Sale,1,1575852,1567852,1163,Strata,01 to 05,1349,16-Jun
2162,ROSEWOOD,ROSEWOOD DRIVE,Condominium,25,OCR,99 yrs lease commencing from 2000,Resale,1,890000,-,1173,Strata,06 to 10,759,16-Jun
2163,THOMSON IMPRESSIONS,LORONG PUNTONG,Apartment,20,RCR,99 yrs lease commencing from 2015,New Sale,1,720300,-,463,Strata,01 to 05,1556,16-Jun
2164,GRANDEUR 8,ANG MO KIO CENTRAL 3,Condominium,20,OCR,99 yrs lease commencing from 2002,Resale,1,1130888,-,1195,Strata,01 to 05,947,16-Jun
2165,THE PANORAMA,ANG MO KIO AVENUE 2,Condominium,20,OCR,99 yrs lease commencing from 2013,New Sale,1,1235934,-,1001,Strata,06 to 10,1235,16-Jun
2166,LAKEVILLE,JURONG LAKE LINK,Condominium,22,OCR,99 yrs lease commencing from 2013,New Sale,1,1427006,1419006,1141,Strata,06 to 10,1244,16-Jun
2167,GOLDENHILL PARK CONDOMINIUM,MEI HWAN DRIVE,Condominium,20,OCR,Freehold,Resale,1,2060000,-,1561,Strata,06 to 10,1320,16-Jun
2168,SKY VUE,BISHAN STREET 15,Condominium,20,RCR,99 yrs lease commencing from 2013,New Sale,1,1730200,-,1141,Strata,31 to 35,1516,16-Jun
2169,GRANDEUR 8,ANG MO KIO CENTRAL 3,Condominium,20,OCR,99 yrs lease commencing from 2002,Resale,1,1425000,-,1421,Strata,11 to 15,1003,16-Jun
