"URBAN REDEVELOPMENT AUTHORITY - RENTAL CONTRACTS OF PRIVATE RESIDENTIAL PROPERTIES"

"S/N","Building/Project Name","Street Name","Postal District","Type","No. of Bedroom(for Non-Landed Only)","Monthly Gross Rent($)","Floor Area (sq m)","Lease Commencement Date"
"1025","WOODSVALE","WOODLANDS DRIVE 72","25","Executive Condominium","3","2600","120 to 130","Mar-2016"
"1026","THE FLORAVALE","WESTWOOD AVENUE","22","Executive Condominium","3","2700","110 to 120","Feb-2016"
"1027","SUMMERDALE","BOON LAY DRIVE","22","Executive Condominium","3","2700","110 to 120","Feb-2016"
"1028","WOODSVALE","WOODLANDS DRIVE 72","25","Executive Condominium","3","2500","110 to 120","Feb-2016"
"1029","WOODSVALE","WOODLANDS DRIVE 72","25","Executive Condominium","3","2400","120 to 130","Feb-2016"
"1030","WOODSVALE","WOODLANDS DRIVE 72","25","Executive Condominium","3","2800","110 to 120","Feb-2016"
"1031","WOODSVALE","WOODLANDS DRIVE 72","25","Executive Condominium","3","2600","120 to 130","Feb-2016"
"1032","LA CASA","WOODLANDS DRIVE 16","25","Executive Condominium","3","2500","110 to 120","Feb-2016"
"1033","WOODSVALE","WOODLANDS DRIVE 72","25","Executive Condominium","3","2500","120 to 130","Feb-2016"
"1034","SUMMERDALE","BOON LAY DRIVE","22","Executive Condominium","3","2800","110 to 120","Feb-2016"
"1035","WOODSVALE","WOODLANDS DRIVE 72","25","Executive Condominium","3","2450","120 to 130","Feb-2016"
"1036","THE FLORAVALE","WESTWOOD AVENUE","22","Executive Condominium","3","2500","120 to 130","Feb-2016"
"1037","WESTMERE","JURONG EAST STREET 13","22","Executive Condominium","3","3000","120 to 130","Feb-2016"
"1038","LA CASA","WOODLANDS DRIVE 16","25","Executive Condominium","2","2150","90 to 100","Feb-2016"
"1039","LA CASA","WOODLANDS DRIVE 16","25","Executive Condominium","3","2700","100 to 110","Feb-2016"
"1040","THE FLORAVALE","WESTWOOD AVENUE","22","Executive Condominium","3","2700","120 to 130","Feb-2016"
"1041","NORTHOAKS","WOODLANDS CRESCENT","25","Executive Condominium","3","2800","110 to 120","Feb-2016"
"1042","SUMMERDALE","BOON LAY DRIVE","22","Executive Condominium","3","2800","110 to 120","Feb-2016"
"1043","SUMMERDALE","BOON LAY DRIVE","22","Executive Condominium","3","2800","110 to 120","Feb-2016"
"1044","WOODSVALE","WOODLANDS DRIVE 72","25","Executive Condominium","3","2600","110 to 120","Feb-2016"
"1045","NORTHOAKS","WOODLANDS CRESCENT","25","Executive Condominium","3","2600","110 to 120","Feb-2016"
"1046","NORTHOAKS","WOODLANDS CRESCENT","25","Executive Condominium","3","2500","110 to 120","Feb-2016"
"1047","BISHAN LOFT","BISHAN STREET 11","20","Executive Condominium","4","4200","130 to 140","Feb-2016"
"1048","NUOVO","ANG MO KIO AVENUE 9","20","Executive Condominium","3","3150","110 to 120","Feb-2016"
"1049","BISHAN LOFT","BISHAN STREET 11","20","Executive Condominium","3","3600","100 to 110","Feb-2016"
"1050","WESTMERE","JURONG EAST STREET 13","22","Executive Condominium","3","3000","100 to 110","Feb-2016"
"1051","THE FLORAVALE","WESTWOOD AVENUE","22","Executive Condominium","3","2600","120 to 130","Feb-2016"
"1052","WESTMERE","JURONG EAST STREET 13","22","Executive Condominium","3","3000","100 to 110","Feb-2016"
"1053","WESTMERE","JURONG EAST STREET 13","22","Executive Condominium","3","3000","110 to 120","Feb-2016"
"1054","SUMMERDALE","BOON LAY DRIVE","22","Executive Condominium","3","2700","130 to 140","Feb-2016"
"1055","THE FLORAVALE","WESTWOOD AVENUE","22","Executive Condominium","3","2700","130 to 140","Feb-2016"
"1056","LA CASA","WOODLANDS DRIVE 16","25","Executive Condominium","3","2500","100 to 110","Feb-2016"
"1057","BISHAN LOFT","BISHAN STREET 11","20","Executive Condominium","3","4000","100 to 110","Feb-2016"
"1058","NUOVO","ANG MO KIO AVENUE 9","20","Executive Condominium","3","3000","120 to 130","Feb-2016"
"1059","WESTMERE","JURONG EAST STREET 13","22","Executive Condominium","3","3200","110 to 120","Feb-2016"
"1060","NORTHOAKS","WOODLANDS CRESCENT","25","Executive Condominium","3","2500","120 to 130","Feb-2016"
"1061","WOODSVALE","WOODLANDS DRIVE 72","25","Executive Condominium","3","2400","110 to 120","Jan-2016"
"1062","THE FLORAVALE","WESTWOOD AVENUE","22","Executive Condominium","3","2900","120 to 130","Jan-2016"
"1063","NORTHOAKS","WOODLANDS CRESCENT","25","Executive Condominium","3","2500","110 to 120","Jan-2016"
"1064","NORTHOAKS","WOODLANDS CRESCENT","25","Executive Condominium","2","2000","90 to 100","Jan-2016"
"1065","SUMMERDALE","BOON LAY DRIVE","22","Executive Condominium","3","2800","110 to 120","Jan-2016"
"1066","WOODSVALE","WOODLANDS DRIVE 72","25","Executive Condominium","3","2500","120 to 130","Jan-2016"
"1067","THE FLORAVALE","WESTWOOD AVENUE","22","Executive Condominium","3","2700","130 to 140","Jan-2016"
"1068","THE FLORAVALE","WESTWOOD AVENUE","22","Executive Condominium","3","2500","120 to 130","Jan-2016"
"1069","NORTHOAKS","WOODLANDS CRESCENT","25","Executive Condominium","3","2500","110 to 120","Jan-2016"
"1070","THE FLORAVALE","WESTWOOD AVENUE","22","Executive Condominium","3","2500","120 to 130","Jan-2016"
"1071","THE FLORAVALE","WESTWOOD AVENUE","22","Executive Condominium","3","2800","110 to 120","Jan-2016"
"1072","WOODSVALE","WOODLANDS DRIVE 72","25","Executive Condominium","3","2600","120 to 130","Jan-2016"
"1073","WESTMERE","JURONG EAST STREET 13","22","Executive Condominium","3","3050","100 to 110","Jan-2016"
"1074","THE FLORAVALE","WESTWOOD AVENUE","22","Executive Condominium","3","2800","120 to 130","Jan-2016"
"1075","THE FLORAVALE","WESTWOOD AVENUE","22","Executive Condominium","3","2500","120 to 130","Jan-2016"
"1076","SUMMERDALE","BOON LAY DRIVE","22","Executive Condominium","3","2900","130 to 140","Jan-2016"
"1077","LA CASA","WOODLANDS DRIVE 16","25","Executive Condominium","3","2200","110 to 120","Jan-2016"
"1078","SUMMERDALE","BOON LAY DRIVE","22","Executive Condominium","3","2800","110 to 120","Jan-2016"
"1079","NUOVO","ANG MO KIO AVENUE 9","20","Executive Condominium","3","3700","120 to 130","Jan-2016"
"1080","SUMMERDALE","BOON LAY DRIVE","22","Executive Condominium","3","3000","130 to 140","Jan-2016"
"1081","SUMMERDALE","BOON LAY DRIVE","22","Executive Condominium","3","2900","110 to 120","Jan-2016"
"1082","WESTMERE","JURONG EAST STREET 13","22","Executive Condominium","3","3100","110 to 120","Jan-2016"
"1083","NORTHOAKS","WOODLANDS CRESCENT","25","Executive Condominium","3","2450","120 to 130","Jan-2016"
"1084","BISHAN LOFT","BISHAN STREET 11","20","Executive Condominium","4","4500","130 to 140","Jan-2016"
"1085","THE FLORAVALE","WESTWOOD AVENUE","22","Executive Condominium","3","2600","120 to 130","Jan-2016"
"1086","THE FLORAVALE","WESTWOOD AVENUE","22","Executive Condominium","3","2700","130 to 140","Jan-2016"
"1087","THE FLORAVALE","WESTWOOD AVENUE","22","Executive Condominium","3","4400","250 to 260","Jan-2016"
"1088","THE FLORAVALE","WESTWOOD AVENUE","22","Executive Condominium","3","2950","120 to 130","Jan-2016"
"1089","WOODSVALE","WOODLANDS DRIVE 72","25","Executive Condominium","3","2500","120 to 130","Jan-2016"
"1090","WOODSVALE","WOODLANDS DRIVE 72","25","Executive Condominium","3","2500","120 to 130","Jan-2016"
"1091","NUOVO","ANG MO KIO AVENUE 9","20","Executive Condominium","3","3400","120 to 130","Jan-2016"
"1092","NORTHOAKS","WOODLANDS CRESCENT","25","Executive Condominium","3","2600","110 to 120","Jan-2016"
"1093","NUOVO","ANG MO KIO AVENUE 9","20","Executive Condominium","3","3000","120 to 130","Jan-2016"
"1094","THE FLORAVALE","WESTWOOD AVENUE","22","Executive Condominium","3","3000","110 to 120","Jan-2016"
"1095","BISHAN LOFT","BISHAN STREET 11","20","Executive Condominium","3","4000","130 to 140","Jan-2016"
"1096","WOODSVALE","WOODLANDS DRIVE 72","25","Executive Condominium","3","2500","120 to 130","Jan-2016"
"1097","THE FLORAVALE","WESTWOOD AVENUE","22","Executive Condominium","3","2500","110 to 120","Jan-2016"
"1098","NORTHOAKS","WOODLANDS CRESCENT","25","Executive Condominium","3","2600","110 to 120","Jan-2016"
"1099","WOODSVALE","WOODLANDS DRIVE 72","25","Executive Condominium","3","2400","110 to 120","Jan-2016"
"1100","THE FLORAVALE","WESTWOOD AVENUE","22","Executive Condominium","3","2600","130 to 140","Jan-2016"
"1101","NUOVO","ANG MO KIO AVENUE 9","20","Executive Condominium","3","3200","120 to 130","Jan-2016"
"1102","THE FLORAVALE","WESTWOOD AVENUE","22","Executive Condominium","3","3250","120 to 130","Jan-2016"
"1103","NUOVO","ANG MO KIO AVENUE 9","20","Executive Condominium","3","4400","220 to 230","Jan-2016"
"1104","THE FLORAVALE","WESTWOOD AVENUE","22","Executive Condominium","3","2600","110 to 120","Dec-2015"
"1105","WESTMERE","JURONG EAST STREET 13","22","Executive Condominium","3","3000","120 to 130","Dec-2015"
"1106","NUOVO","ANG MO KIO AVENUE 9","20","Executive Condominium","3","4300","120 to 130","Dec-2015"
"1107","THE FLORAVALE","WESTWOOD AVENUE","22","Executive Condominium","3","2650","120 to 130","Dec-2015"
"1108","NORTHOAKS","WOODLANDS CRESCENT","25","Executive Condominium","3","2500","110 to 120","Dec-2015"
"1109","WESTMERE","JURONG EAST STREET 13","22","Executive Condominium","3","3050","100 to 110","Dec-2015"
"1110","SUMMERDALE","BOON LAY DRIVE","22","Executive Condominium","3","3000","190 to 200","Dec-2015"
"1111","WESTMERE","JURONG EAST STREET 13","22","Executive Condominium","3","3000","100 to 110","Dec-2015"
"1112","THE FLORAVALE","WESTWOOD AVENUE","22","Executive Condominium","3","3100","120 to 130","Dec-2015"
"1113","WESTMERE","JURONG EAST STREET 13","22","Executive Condominium","3","2900","100 to 110","Dec-2015"
"1114","NORTHOAKS","WOODLANDS CRESCENT","25","Executive Condominium","3","2700","110 to 120","Dec-2015"
"1115","THE FLORAVALE","WESTWOOD AVENUE","22","Executive Condominium","3","3200","130 to 140","Dec-2015"
"1116","BISHAN LOFT","BISHAN STREET 11","20","Executive Condominium","3","3700","100 to 110","Dec-2015"
"1117","THE FLORAVALE","WESTWOOD AVENUE","22","Executive Condominium","3","3200","110 to 120","Dec-2015"
"1118","NUOVO","ANG MO KIO AVENUE 9","20","Executive Condominium","3","3600","130 to 140","Dec-2015"
"1119","WOODSVALE","WOODLANDS DRIVE 72","25","Executive Condominium","3","2600","120 to 130","Dec-2015"
"1120","WOODSVALE","WOODLANDS DRIVE 72","25","Executive Condominium","3","2300","110 to 120","Dec-2015"
"1121","SUMMERDALE","BOON LAY DRIVE","22","Executive Condominium","3","3000","110 to 120","Dec-2015"
"1122","WOODSVALE","WOODLANDS DRIVE 72","25","Executive Condominium","3","2600","120 to 130","Dec-2015"
"1123","WESTMERE","JURONG EAST STREET 13","22","Executive Condominium","3","3000","100 to 110","Dec-2015"
"1124","LA CASA","WOODLANDS DRIVE 16","25","Executive Condominium","3","2300","100 to 110","Dec-2015"
"1125","WOODSVALE","WOODLANDS DRIVE 72","25","Executive Condominium","3","2600","130 to 140","Dec-2015"
"1126","NORTHOAKS","WOODLANDS CRESCENT","25","Executive Condominium","3","2500","110 to 120","Dec-2015"
"1127","BISHAN LOFT","BISHAN STREET 11","20","Executive Condominium","3","4000","120 to 130","Dec-2015"
"1128","WOODSVALE","WOODLANDS DRIVE 72","25","Executive Condominium","3","2600","110 to 120","Dec-2015"
"1129","NORTHOAKS","WOODLANDS CRESCENT","25","Executive Condominium","3","2900","120 to 130","Dec-2015"
"1130","NUOVO","ANG MO KIO AVENUE 9","20","Executive Condominium","3","3000","110 to 120","Dec-2015"
"1131","THE FLORAVALE","WESTWOOD AVENUE","22","Executive Condominium","3","2900","110 to 120","Dec-2015"
"1132","WOODSVALE","WOODLANDS DRIVE 72","25","Executive Condominium","3","2500","130 to 140","Dec-2015"
"1133","LA CASA","WOODLANDS DRIVE 16","25","Executive Condominium","3","2400","100 to 110","Dec-2015"
"1134","SUMMERDALE","BOON LAY DRIVE","22","Executive Condominium","3","3000","110 to 120","Dec-2015"
"1135","WOODSVALE","WOODLANDS DRIVE 72","25","Executive Condominium","3","2600","130 to 140","Dec-2015"
"1136","NORTHOAKS","WOODLANDS CRESCENT","25","Executive Condominium","3","2300","110 to 120","Dec-2015"
"1137","NORTHOAKS","WOODLANDS CRESCENT","25","Executive Condominium","3","2500","110 to 120","Dec-2015"
"1138","NORTHOAKS","WOODLANDS CRESCENT","25","Executive Condominium","3","2400","120 to 130","Dec-2015"
"1139","WOODSVALE","WOODLANDS DRIVE 72","25","Executive Condominium","3","2500","110 to 120","Dec-2015"
"1140","WOODSVALE","WOODLANDS DRIVE 72","25","Executive Condominium","3","2450","110 to 120","Dec-2015"
"1141","THE FLORAVALE","WESTWOOD AVENUE","22","Executive Condominium","3","2850","120 to 130","Dec-2015"
"1142","NORTHOAKS","WOODLANDS CRESCENT","25","Executive Condominium","3","3000","110 to 120","Dec-2015"
"1143","WOODSVALE","WOODLANDS DRIVE 72","25","Executive Condominium","3","2400","120 to 130","Nov-2015"
"1144","BISHAN LOFT","BISHAN STREET 11","20","Executive Condominium","3","4500","130 to 140","Nov-2015"
"1145","BISHAN LOFT","BISHAN STREET 11","20","Executive Condominium","3","4000","130 to 140","Nov-2015"
"1146","THE FLORAVALE","WESTWOOD AVENUE","22","Executive Condominium","3","3000","130 to 140","Nov-2015"
"1147","SUMMERDALE","BOON LAY DRIVE","22","Executive Condominium","3","3000","110 to 120","Nov-2015"
"1148","BISHAN LOFT","BISHAN STREET 11","20","Executive Condominium","3","4200","130 to 140","Nov-2015"
"1149","WOODSVALE","WOODLANDS DRIVE 72","25","Executive Condominium","3","2200","120 to 130","Nov-2015"
"1150","WOODSVALE","WOODLANDS DRIVE 72","25","Executive Condominium","3","2500","110 to 120","Nov-2015"
"1151","THE FLORAVALE","WESTWOOD AVENUE","22","Executive Condominium","3","2700","160 to 170","Nov-2015"
"1152","THE FLORAVALE","WESTWOOD AVENUE","22","Executive Condominium","3","2700","120 to 130","Nov-2015"
"1153","NORTHOAKS","WOODLANDS CRESCENT","25","Executive Condominium","2","2300","90 to 100","Nov-2015"
"1154","BISHAN LOFT","BISHAN STREET 11","20","Executive Condominium","4","4100","130 to 140","Nov-2015"
"1155","WOODSVALE","WOODLANDS DRIVE 72","25","Executive Condominium","3","2500","110 to 120","Nov-2015"
"1156","SUMMERDALE","BOON LAY DRIVE","22","Executive Condominium","3","3300","110 to 120","Nov-2015"
"1157","BISHAN LOFT","BISHAN STREET 11","20","Executive Condominium","3","4000","120 to 130","Nov-2015"
"1158","BISHAN LOFT","BISHAN STREET 11","20","Executive Condominium","3","3600","100 to 110","Nov-2015"
"1159","BISHAN LOFT","BISHAN STREET 11","20","Executive Condominium","4","4500","130 to 140","Nov-2015"
"1160","NUOVO","ANG MO KIO AVENUE 9","20","Executive Condominium","3","3100","110 to 120","Nov-2015"
"1161","NORTHOAKS","WOODLANDS CRESCENT","25","Executive Condominium","3","2300","110 to 120","Nov-2015"
"1162","NORTHOAKS","WOODLANDS CRESCENT","25","Executive Condominium","3","2400","110 to 120","Nov-2015"
"1163","THE FLORAVALE","WESTWOOD AVENUE","22","Executive Condominium","3","2600","110 to 120","Nov-2015"
"1164","BISHAN LOFT","BISHAN STREET 11","20","Executive Condominium","3","3900","100 to 110","Nov-2015"
"1165","SUMMERDALE","BOON LAY DRIVE","22","Executive Condominium","3","2850","110 to 120","Nov-2015"
"1166","NORTHOAKS","WOODLANDS CRESCENT","25","Executive Condominium","3","2400","110 to 120","Nov-2015"
"1167","NUOVO","ANG MO KIO AVENUE 9","20","Executive Condominium","3","3400","110 to 120","Nov-2015"
"1168","NORTHOAKS","WOODLANDS CRESCENT","25","Executive Condominium","3","2800","110 to 120","Nov-2015"
"1169","WOODSVALE","WOODLANDS DRIVE 72","25","Executive Condominium","3","2500","110 to 120","Nov-2015"
"1170","THE FLORAVALE","WESTWOOD AVENUE","22","Executive Condominium","3","3100","160 to 170","Nov-2015"
"1171","THE FLORAVALE","WESTWOOD AVENUE","22","Executive Condominium","3","2700","120 to 130","Nov-2015"
"1172","NORTHOAKS","WOODLANDS CRESCENT","25","Executive Condominium","3","2500","130 to 140","Nov-2015"
"1173","WOODSVALE","WOODLANDS DRIVE 72","25","Executive Condominium","3","2300","120 to 130","Nov-2015"
"1174","LA CASA","WOODLANDS DRIVE 16","25","Executive Condominium","3","2500","100 to 110","Oct-2015"
"1175","WOODSVALE","WOODLANDS DRIVE 72","25","Executive Condominium","3","2600","120 to 130","Oct-2015"
"1176","WOODSVALE","WOODLANDS DRIVE 72","25","Executive Condominium","3","2500","120 to 130","Oct-2015"
"1177","NORTHOAKS","WOODLANDS CRESCENT","25","Executive Condominium","3","2600","110 to 120","Oct-2015"
"1178","NORTHOAKS","WOODLANDS CRESCENT","25","Executive Condominium","3","2600","110 to 120","Oct-2015"
"1179","NORTHOAKS","WOODLANDS CRESCENT","25","Executive Condominium","3","2600","120 to 130","Oct-2015"
"1180","LA CASA","WOODLANDS DRIVE 16","25","Executive Condominium","3","2600","100 to 110","Oct-2015"
"1181","SUMMERDALE","BOON LAY DRIVE","22","Executive Condominium","3","3000","110 to 120","Oct-2015"
"1182","THE FLORAVALE","WESTWOOD AVENUE","22","Executive Condominium","3","2800","110 to 120","Oct-2015"
"1183","LA CASA","WOODLANDS DRIVE 16","25","Executive Condominium","2","2300","90 to 100","Oct-2015"
"1184","WOODSVALE","WOODLANDS DRIVE 72","25","Executive Condominium","3","2500","120 to 130","Oct-2015"
"1185","NORTHOAKS","WOODLANDS CRESCENT","25","Executive Condominium","3","2900","110 to 120","Oct-2015"
"1186","WOODSVALE","WOODLANDS DRIVE 72","25","Executive Condominium","3","2600","130 to 140","Oct-2015"
"1187","WOODSVALE","WOODLANDS DRIVE 72","25","Executive Condominium","3","2700","120 to 130","Oct-2015"
"1188","NORTHOAKS","WOODLANDS CRESCENT","25","Executive Condominium","3","2600","110 to 120","Oct-2015"
"1189","THE FLORAVALE","WESTWOOD AVENUE","22","Executive Condominium","3","2900","130 to 140","Oct-2015"
"1190","NORTHOAKS","WOODLANDS CRESCENT","25","Executive Condominium","3","2300","110 to 120","Oct-2015"
"1191","BISHAN LOFT","BISHAN STREET 11","20","Executive Condominium","3","4100","100 to 110","Oct-2015"
"1192","LA CASA","WOODLANDS DRIVE 16","25","Executive Condominium","2","2150","90 to 100","Oct-2015"
"1193","WOODSVALE","WOODLANDS DRIVE 72","25","Executive Condominium","3","2700","120 to 130","Oct-2015"
"1194","BISHAN LOFT","BISHAN STREET 11","20","Executive Condominium","3","3800","100 to 110","Oct-2015"
"1195","LA CASA","WOODLANDS DRIVE 16","25","Executive Condominium","3","2800","100 to 110","Oct-2015"
"1196","SUMMERDALE","BOON LAY DRIVE","22","Executive Condominium","3","2800","110 to 120","Oct-2015"
"1197","NORTHOAKS","WOODLANDS CRESCENT","25","Executive Condominium","3","2600","120 to 130","Oct-2015"
"1198","SUMMERDALE","BOON LAY DRIVE","22","Executive Condominium","3","2700","110 to 120","Oct-2015"
"1199","SUMMERDALE","BOON LAY DRIVE","22","Executive Condominium","3","2950","130 to 140","Oct-2015"
"1200","SUMMERDALE","BOON LAY DRIVE","22","Executive Condominium","3","3100","110 to 120","Oct-2015"
"1201","SUMMERDALE","BOON LAY DRIVE","22","Executive Condominium","3","3000","110 to 120","Oct-2015"
"1202","NORTHOAKS","WOODLANDS CRESCENT","25","Executive Condominium","3","2500","120 to 130","Oct-2015"
"1203","THE FLORAVALE","WESTWOOD AVENUE","22","Executive Condominium","3","2700","120 to 130","Oct-2015"
"1204","WOODSVALE","WOODLANDS DRIVE 72","25","Executive Condominium","3","2600","120 to 130","Oct-2015"
"1205","SUMMERDALE","BOON LAY DRIVE","22","Executive Condominium","3","3000","120 to 130","Oct-2015"
"1206","NORTHOAKS","WOODLANDS CRESCENT","25","Executive Condominium","3","2400","110 to 120","Sep-2015"
"1207","WOODSVALE","WOODLANDS DRIVE 72","25","Executive Condominium","3","2700","120 to 130","Sep-2015"
"1208","NORTHOAKS","WOODLANDS CRESCENT","25","Executive Condominium","3","2400","110 to 120","Sep-2015"
"1209","LA CASA","WOODLANDS DRIVE 16","25","Executive Condominium","2","2300","80 to 90","Sep-2015"
"1210","NORTHOAKS","WOODLANDS CRESCENT","25","Executive Condominium","2","2200","90 to 100","Sep-2015"
"1211","LA CASA","WOODLANDS DRIVE 16","25","Executive Condominium","3","2700","110 to 120","Sep-2015"
"1212","NUOVO","ANG MO KIO AVENUE 9","20","Executive Condominium","3","3100","130 to 140","Sep-2015"
"1213","BISHAN LOFT","BISHAN STREET 11","20","Executive Condominium","3","3600","120 to 130","Sep-2015"
"1214","LA CASA","WOODLANDS DRIVE 16","25","Executive Condominium","3","2900","100 to 110","Sep-2015"
"1215","WOODSVALE","WOODLANDS DRIVE 72","25","Executive Condominium","3","2800","120 to 130","Sep-2015"
"1216","WOODSVALE","WOODLANDS DRIVE 72","25","Executive Condominium","3","2600","110 to 120","Sep-2015"
"1217","NORTHOAKS","WOODLANDS CRESCENT","25","Executive Condominium","3","2600","110 to 120","Sep-2015"
"1218","NUOVO","ANG MO KIO AVENUE 9","20","Executive Condominium","3","3510","130 to 140","Sep-2015"
"1219","BISHAN LOFT","BISHAN STREET 11","20","Executive Condominium","3","3400","110 to 120","Sep-2015"
"1220","BISHAN LOFT","BISHAN STREET 11","20","Executive Condominium","3","3700","100 to 110","Sep-2015"
"1221","NUOVO","ANG MO KIO AVENUE 9","20","Executive Condominium","3","3400","130 to 140","Sep-2015"
"1222","SUMMERDALE","BOON LAY DRIVE","22","Executive Condominium","3","3200","110 to 120","Sep-2015"
"1223","SUMMERDALE","BOON LAY DRIVE","22","Executive Condominium","3","3100","110 to 120","Sep-2015"
"1224","NORTHOAKS","WOODLANDS CRESCENT","25","Executive Condominium","3","2700","110 to 120","Sep-2015"
"1225","WESTMERE","JURONG EAST STREET 13","22","Executive Condominium","3","3300","110 to 120","Sep-2015"
"1226","SUMMERDALE","BOON LAY DRIVE","22","Executive Condominium","3","3300","110 to 120","Sep-2015"
"1227","SUMMERDALE","BOON LAY DRIVE","22","Executive Condominium","3","3300","110 to 120","Sep-2015"
"1228","NUOVO","ANG MO KIO AVENUE 9","20","Executive Condominium","3","3300","120 to 130","Sep-2015"
"1229","LA CASA","WOODLANDS DRIVE 16","25","Executive Condominium","2","2200","90 to 100","Sep-2015"
"1230","LA CASA","WOODLANDS DRIVE 16","25","Executive Condominium","4","3200","110 to 120","Sep-2015"
"1231","NORTHOAKS","WOODLANDS CRESCENT","25","Executive Condominium","3","2500","110 to 120","Sep-2015"
"1232","WOODSVALE","WOODLANDS DRIVE 72","25","Executive Condominium","3","2500","120 to 130","Sep-2015"
"1233","THE FLORAVALE","WESTWOOD AVENUE","22","Executive Condominium","3","4000","210 to 220","Sep-2015"
"1234","NORTHOAKS","WOODLANDS CRESCENT","25","Executive Condominium","3","2600","110 to 120","Aug-2015"
"1235","NORTHOAKS","WOODLANDS CRESCENT","25","Executive Condominium","3","2500","110 to 120","Aug-2015"
"1236","SUMMERDALE","BOON LAY DRIVE","22","Executive Condominium","3","3000","190 to 200","Aug-2015"
"1237","NORTHOAKS","WOODLANDS CRESCENT","25","Executive Condominium","3","2480","120 to 130","Aug-2015"
"1238","WOODSVALE","WOODLANDS DRIVE 72","25","Executive Condominium","3","2450","120 to 130","Aug-2015"
"1239","NORTHOAKS","WOODLANDS CRESCENT","25","Executive Condominium","3","2300","110 to 120","Aug-2015"
"1240","THE FLORAVALE","WESTWOOD AVENUE","22","Executive Condominium","3","2800","120 to 130","Aug-2015"
"1241","BISHAN LOFT","BISHAN STREET 11","20","Executive Condominium","3","3600","100 to 110","Aug-2015"
"1242","LA CASA","WOODLANDS DRIVE 16","25","Executive Condominium","2","1950","80 to 90","Aug-2015"
"1243","NORTHOAKS","WOODLANDS CRESCENT","25","Executive Condominium","3","2500","110 to 120","Aug-2015"
"1244","BISHAN LOFT","BISHAN STREET 11","20","Executive Condominium","3","3300","110 to 120","Aug-2015"
"1245","WOODSVALE","WOODLANDS DRIVE 72","25","Executive Condominium","3","2400","110 to 120","Aug-2015"
"1246","THE FLORAVALE","WESTWOOD AVENUE","22","Executive Condominium","3","2900","120 to 130","Aug-2015"
"1247","WOODSVALE","WOODLANDS DRIVE 72","25","Executive Condominium","3","2500","120 to 130","Aug-2015"
"1248","WOODSVALE","WOODLANDS DRIVE 72","25","Executive Condominium","3","2500","110 to 120","Aug-2015"
"1249","WOODSVALE","WOODLANDS DRIVE 72","25","Executive Condominium","3","2600","110 to 120","Aug-2015"
"1250","WOODSVALE","WOODLANDS DRIVE 72","25","Executive Condominium","3","2200","120 to 130","Aug-2015"
"1251","WESTMERE","JURONG EAST STREET 13","22","Executive Condominium","3","3200","120 to 130","Aug-2015"
"1252","SUMMERDALE","BOON LAY DRIVE","22","Executive Condominium","3","2900","110 to 120","Aug-2015"
"1253","BISHAN LOFT","BISHAN STREET 11","20","Executive Condominium","3","4700","100 to 110","Aug-2015"
"1254","THE FLORAVALE","WESTWOOD AVENUE","22","Executive Condominium","3","3000","160 to 170","Aug-2015"
"1255","THE FLORAVALE","WESTWOOD AVENUE","22","Executive Condominium","3","2500","110 to 120","Aug-2015"
"1256","WOODSVALE","WOODLANDS DRIVE 72","25","Executive Condominium","3","2500","110 to 120","Aug-2015"
"1257","SUMMERDALE","BOON LAY DRIVE","22","Executive Condominium","3","3350","110 to 120","Aug-2015"
"1258","WOODSVALE","WOODLANDS DRIVE 72","25","Executive Condominium","3","2700","120 to 130","Aug-2015"
"1259","BISHAN LOFT","BISHAN STREET 11","20","Executive Condominium","3","3500","100 to 110","Aug-2015"
"1260","THE FLORAVALE","WESTWOOD AVENUE","22","Executive Condominium","3","2800","120 to 130","Aug-2015"
"1261","WOODSVALE","WOODLANDS DRIVE 72","25","Executive Condominium","3","2650","110 to 120","Aug-2015"
"1262","LA CASA","WOODLANDS DRIVE 16","25","Executive Condominium","3","2800","100 to 110","Aug-2015"
"1263","WOODSVALE","WOODLANDS DRIVE 72","25","Executive Condominium","3","3100","110 to 120","Aug-2015"
"1264","BISHAN LOFT","BISHAN STREET 11","20","Executive Condominium","3","4000","120 to 130","Aug-2015"
"1265","SUMMERDALE","BOON LAY DRIVE","22","Executive Condominium","3","2900","110 to 120","Aug-2015"
"1266","WESTMERE","JURONG EAST STREET 13","22","Executive Condominium","3","3150","110 to 120","Aug-2015"
